Temperatura Inicial,Taxa de Resfriamento,Máximo de Iterações,Melhor Custo
500,0.95,500,615.733351235549
500,0.95,1000,568.9731677912256
500,0.95,2000,615.0322196441509
500,0.99,500,615.6182494502607
500,0.99,1000,471.52550563721803
500,0.99,2000,489.44717111931743
500,0.995,500,647.2526776336063
500,0.995,1000,525.825297321902
500,0.995,2000,510.4456394307771
1000,0.95,500,490.5433326566272
1000,0.95,1000,591.4062563618493
1000,0.95,2000,486.26409603078764
1000,0.99,500,631.459156381433
1000,0.99,1000,561.0287298518703
1000,0.99,2000,460.80262692595306
1000,0.995,500,662.9674393212564
1000,0.995,1000,579.5364185367711
1000,0.995,2000,494.90926680344205
2000,0.95,500,493.41428300816744
2000,0.95,1000,543.9991010699266
2000,0.95,2000,600.9762303071104
2000,0.99,500,608.5057930878465
2000,0.99,1000,511.4207666988092
2000,0.99,2000,548.4969659956282
2000,0.995,500,697.1978972535479
2000,0.995,1000,571.1350966027761
2000,0.995,2000,434.85494323515906
