Temperatura inicial,Taxa de resfriamento,Máximo de iterações,Média dos custos,Melhor custo,Média do tempo (ms)
1000,0.999,9000,445.88971786073364,393.32634130525554,514.1882101694742
2000,0.999,9000,439.6367538291396,398.00326562266844,435.7075611750285
3000,0.999,9000,445.34148841658265,381.6895296619897,479.5258601506551
4000,0.999,9000,443.40342059997363,388.20736662366545,462.2923771540324
5000,0.999,9000,436.44331311257685,395.89631898020065,741.7388439178467
6000,0.999,9000,437.413270887925,393.25695136516595,415.5201594034831
7000,0.999,9000,441.3215791605855,397.54552374028987,566.6151762008667
8000,0.999,9000,443.4010359718273,388.20736662366545,625.8621056874593
9000,0.999,9000,443.4867692212964,384.05605815089905,494.6581443150838
10000,0.999,9000,448.244031085204,384.05605815089905,440.76263904571533
11000,0.999,9000,442.2959041908951,390.62434807750225,477.12003389994305
12000,0.999,9000,440.3187316852113,388.20736662366545,744.9084679285685
13000,0.999,9000,439.37858571108103,384.05605815089905,455.02416292826337
14000,0.999,9000,440.32608793376744,388.5038704846404,465.36985238393146
15000,0.999,9000,439.82578894416184,383.5168302536042,842.0713822046915
16000,0.999,9000,446.3483421642476,388.9660505867023,439.0557686487834
17000,0.999,9000,442.5693695362595,390.4658006648762,417.93266137441
18000,0.999,9000,452.9889684069459,388.96605058670224,664.0948057174683
19000,0.999,9000,447.38736401996056,398.12479321084743,608.3707014719645
20000,0.999,9000,448.5299889124774,395.6358415970549,415.65126578013104
